model_name,model_type,features,train_rows,test_rows,train_auc,train_accuracy,train_log_loss,test_auc,test_accuracy,test_log_loss,model_path,metadata_path,model_dir,train_c_index,test_c_index,train_partial_log_likelihood,test_partial_log_likelihood
logit_all_features,logistic_regression,age_years|residential_status|time_at_address_months|employment_status|time_with_employer_months|gross_monthly_income_eur|net_monthly_income_eur|debt_to_income_ratio|disposable_income_eur|num_active_credit_accounts|total_outstanding_balance_eur|credit_utilisation_ratio|num_unsecured_loans|num_accounts_30dpd_last12m|max_delinquency_last12m|months_since_last_delinquency|worst_ever_delinquency|credit_history_length_months|num_credit_enquiries_last6m|adverse_events_flag,8000,2000,0.955814208984375,0.97275,0.080037079174223,0.9259309895833332,0.974,0.0920981706433446,analytics\data_analysis\artifacts\04_models\logistic_regression\logit_all_features.joblib,analytics\data_analysis\artifacts\04_models\logistic_regression\logit_all_features.json,analytics\data_analysis\artifacts\04_models\logistic_regression,,,,
cox_all_features,cox_ph,age_years|residential_status|time_at_address_months|employment_status|time_with_employer_months|gross_monthly_income_eur|net_monthly_income_eur|debt_to_income_ratio|disposable_income_eur|num_active_credit_accounts|total_outstanding_balance_eur|credit_utilisation_ratio|num_unsecured_loans|num_accounts_30dpd_last12m|max_delinquency_last12m|months_since_last_delinquency|worst_ever_delinquency|credit_history_length_months|num_credit_enquiries_last6m|adverse_events_flag,8000,2000,,,,,,,analytics\data_analysis\artifacts\04_models\cox_hazard\cox_all_features.pkl,analytics\data_analysis\artifacts\04_models\cox_hazard\cox_all_features.json,analytics\data_analysis\artifacts\04_models\cox_hazard,0.9444866541233498,0.9156034702730288,-2236.595374942704,-476.1549340093196
logit_all_features,logistic_regression,age_years|residential_status|time_at_address_months|employment_status|time_with_employer_months|gross_monthly_income_eur|net_monthly_income_eur|debt_to_income_ratio|disposable_income_eur|num_active_credit_accounts|total_outstanding_balance_eur|credit_utilisation_ratio|num_unsecured_loans|num_accounts_30dpd_last12m|max_delinquency_last12m|months_since_last_delinquency|worst_ever_delinquency|credit_history_length_months|num_credit_enquiries_last6m|adverse_events_flag,8000,2000,0.955814208984375,0.97275,0.080037079174223,0.9259309895833332,0.974,0.0920981706433446,analytics\data_analysis\artifacts\04_models\logistic_regression\logit_all_features.joblib,analytics\data_analysis\artifacts\04_models\logistic_regression\logit_all_features.json,analytics\data_analysis\artifacts\04_models\logistic_regression,,,,
nn_all_features,neural_network,age_years|residential_status|time_at_address_months|employment_status|time_with_employer_months|gross_monthly_income_eur|net_monthly_income_eur|debt_to_income_ratio|disposable_income_eur|num_active_credit_accounts|total_outstanding_balance_eur|credit_utilisation_ratio|num_unsecured_loans|num_accounts_30dpd_last12m|max_delinquency_last12m|months_since_last_delinquency|worst_ever_delinquency|credit_history_length_months|num_credit_enquiries_last6m|adverse_events_flag,8000,2000,1.0,0.999875,0.0012547913686677,0.89248046875,0.9625,0.2481957386468604,analytics\data_analysis\artifacts\04_models\neural_network\nn_all_features.joblib,analytics\data_analysis\artifacts\04_models\neural_network\nn_all_features.json,analytics\data_analysis\artifacts\04_models\neural_network,,,,
cox_all_features,cox_ph,age_years|residential_status|time_at_address_months|employment_status|time_with_employer_months|gross_monthly_income_eur|net_monthly_income_eur|debt_to_income_ratio|disposable_income_eur|num_active_credit_accounts|total_outstanding_balance_eur|credit_utilisation_ratio|num_unsecured_loans|num_accounts_30dpd_last12m|max_delinquency_last12m|months_since_last_delinquency|worst_ever_delinquency|credit_history_length_months|num_credit_enquiries_last6m|adverse_events_flag,8000,2000,,,,,,,analytics\data_analysis\artifacts\04_models\cox_hazard\cox_all_features.pkl,analytics\data_analysis\artifacts\04_models\cox_hazard\cox_all_features.json,analytics\data_analysis\artifacts\04_models\cox_hazard,0.9444866541233498,0.9156034702730288,-2236.595374942704,-476.15493400931956
